Comm Start,Tightening date/time,Engine no,WorkNO.,Axis number,Count,Torque,Angle,Number of pulses,Tightening time,Free run angle,Snug angle,Torque angle change,Judgement,Reception date/time
No.1:UEC-4800,28/03/23 9:12,654321,1,1,1,10.5,0,4,66,0,0,0,OK,37:19.5
Save date/time:2023/03/28 (Tue) 10:37,28/03/23 9:13,753951,1,1,1,10,0,3,45,0,0,0,OK,37:22.3
,28/03/23 9:15,753951,1,1,1,10.3,0,3,47,0,0,0,OK,37:25.0
,28/03/23 9:16,654321,1,1,1,10.5,0,4,69,0,0,0,OK,37:27.8
,28/03/23 9:18,753951,1,1,1,10,0,3,46,0,0,0,OK,37:30.5
,28/03/23 9:19,753951,1,1,1,11.1,0,4,68,0,0,0,OK,37:33.2
,28/03/23 9:21,987654,1,1,1,10.7,0,3,45,0,0,0,OK,37:36.1
,28/03/23 9:22,753951,1,1,1,10,0,3,47,0,0,0,OK,37:38.8
,28/03/23 9:23,753951,1,1,1,10,0,3,46,0,0,0,OK,37:41.5
,28/03/23 9:25,753951,1,1,1,10.7,0,6,108,0,0,0,OK,37:44.5
,28/03/23 9:26,753951,1,1,1,10.1,0,3,46,0,0,0,OK,37:47.3
,28/03/23 9:28,987654,1,1,1,10.3,0,4,68,0,0,0,OK,37:57.2
,28/03/23 9:29,753951,1,1,1,10.2,0,4,66,0,0,0,OK,37:59.9
,28/03/23 9:30,753951,1,1,1,10.5,0,3,46,0,0,0,OK,38:02.6
,28/03/23 9:32,753951,1,1,1,10.8,0,4,69,0,0,0,OK,38:05.3
,28/03/23 9:33,753951,1,1,1,10.3,0,4,67,0,0,0,OK,38:08.0
,28/03/23 9:34,753951,1,1,1,11.1,0,4,48,0,0,0,OK,38:10.6
,28/03/23 9:36,123456,1,1,1,10,0,3,46,0,0,0,OK,38:13.4
,28/03/23 9:37,753951,1,1,1,10.2,0,3,45,0,0,0,OK,38:16.0
,28/03/23 9:39,123456,1,1,1,10.8,0,3,46,0,0,0,OK,38:18.8
,28/03/23 9:40,753951,1,1,1,10.7,0,3,46,0,0,0,OK,38:21.5
,28/03/23 9:41,987654,1,1,1,10.5,0,3,48,0,0,0,OK,38:24.3
,28/03/23 9:43,753951,1,1,1,10.2,0,3,46,0,0,0,OK,38:26.9
,28/03/23 9:44,753951,1,1,1,10.7,0,4,68,0,0,0,OK,38:29.7
,28/03/23 9:46,753951,1,1,1,10,0,3,45,0,0,0,OK,38:32.3
,28/03/23 9:47,753951,1,1,1,10.4,0,3,45,0,0,0,OK,38:35.2
,28/03/23 9:48,753951,1,1,1,10.9,0,5,69,0,0,0,OK,38:37.8
,28/03/23 9:50,987654,1,1,1,10.2,0,3,47,0,0,0,OK,38:40.8
,28/03/23 9:51,987654,1,1,1,10,0,4,67,0,0,0,OK,38:43.6
,28/03/23 9:53,753951,1,1,1,10.2,0,3,46,0,0,0,OK,38:46.3
,28/03/23 9:54,753951,1,1,1,10,0,4,68,0,0,0,OK,38:49.0
,28/03/23 9:55,987654,1,1,1,10.3,0,4,65,0,0,0,OK,38:51.6
,28/03/23 9:57,753951,1,1,1,10.8,0,3,45,0,0,0,OK,38:54.4
,28/03/23 9:58,753951,1,1,1,10,0,3,46,0,0,0,OK,38:57.6
,28/03/23 10:00,123456,1,1,1,10,0,3,47,0,0,0,OK,39:00.3
,28/03/23 10:01,753951,1,1,1,10.7,0,3,45,0,0,0,OK,39:03.1
,28/03/23 10:02,753951,1,1,1,11.1,0,4,67,0,0,0,OK,39:05.8
,28/03/23 10:04,753951,1,1,1,10.6,0,4,68,0,0,0,OK,39:08.8
,28/03/23 10:05,987654,1,1,1,10.8,0,3,47,0,0,0,OK,39:11.6
,28/03/23 10:07,987654,1,1,1,10.4,0,3,45,0,0,0,OK,39:14.3