Comm Start,Tightening date/time,Date,Engine,WorkNO.,Axis number,Count,Torque,Angle,Number of pulses,Tightening time,Free run angle,Snug angle,Torque angle change,Judgement,Reception date/time
No.1:UEC-4800,28/03/23 9:12,28/03/23,654321,1,1,1,10.5,0,4,66,0,0,0,OK,37:20.0
Save date/time:2023/03/28 (Tue) 10:37,28/03/23 9:13,28/03/23,753951,1,1,1,10,0,3,45,0,0,0,OK,37:22.3
,28/03/23 9:15,28/03/23,753951,1,1,1,10.3,0,3,47,0,0,0,OK,37:25.0
,28/03/23 9:16,28/03/23,654321,1,1,1,10.5,0,4,69,0,0,0,OK,37:27.8
,28/03/23 9:18,28/03/23,753951,1,1,1,10,0,3,46,0,0,0,OK,37:30.5
,28/03/23 9:19,28/03/23,753951,1,1,1,11.1,0,4,68,0,0,0,OK,37:33.2
,28/03/23 9:21,28/03/23,987654,1,1,1,10.7,0,3,45,0,0,0,OK,37:36.1
,28/03/23 9:22,28/03/23,753951,1,1,1,10,0,3,47,0,0,0,OK,37:38.8
,28/03/23 9:23,28/03/23,753951,1,1,1,10,0,3,46,0,0,0,OK,37:41.5
,28/03/23 9:25,28/03/23,753951,1,1,1,10.7,0,6,108,0,0,0,OK,37:44.5
,28/03/23 9:26,28/03/23,753951,1,1,1,10.1,0,3,46,0,0,0,OK,37:47.3
,28/03/23 9:28,28/03/23,987654,1,1,1,10.3,0,4,68,0,0,0,OK,37:57.2
,28/03/23 9:29,28/03/23,753951,1,1,1,10.2,0,4,66,0,0,0,OK,37:59.9
,28/03/23 9:30,28/03/23,753951,1,1,1,10.5,0,3,46,0,0,0,OK,38:02.6
,28/03/23 9:32,28/03/23,753951,1,1,1,10.8,0,4,69,0,0,0,OK,38:05.3
,28/03/23 9:33,28/03/23,753951,1,1,1,10.3,0,4,67,0,0,0,OK,38:08.0
,28/03/23 9:34,28/03/23,753951,1,1,1,11.1,0,4,48,0,0,0,OK,38:10.6
,28/03/23 9:36,28/03/23,123456,1,1,1,10,0,3,46,0,0,0,OK,38:13.4
,28/03/23 9:37,28/03/23,753951,1,1,1,10.2,0,3,45,0,0,0,OK,38:16.0
,28/03/23 9:39,28/03/23,123456,1,1,1,10.8,0,3,46,0,0,0,OK,38:18.8
,28/03/23 9:40,28/03/23,753951,1,1,1,10.7,0,3,46,0,0,0,OK,38:21.5
,28/03/23 9:41,28/03/23,987654,1,1,1,10.5,0,3,48,0,0,0,OK,38:24.3
,28/03/23 9:43,28/03/23,753951,1,1,1,10.2,0,3,46,0,0,0,OK,38:26.9
,28/03/23 9:44,28/03/23,753951,1,1,1,10.7,0,4,68,0,0,0,OK,38:29.7
,28/03/23 9:46,28/03/23,753951,1,1,1,10,0,3,45,0,0,0,OK,38:32.3
,28/03/23 9:47,28/03/23,753951,1,1,1,10.4,0,3,45,0,0,0,OK,38:35.2
,28/03/23 9:48,28/03/23,753951,1,1,1,10.9,0,5,69,0,0,0,OK,38:37.8
,28/03/23 9:50,28/03/23,987654,1,1,1,10.2,0,3,47,0,0,0,OK,38:40.8
,28/03/23 9:51,28/03/23,987654,1,1,1,10,0,4,67,0,0,0,OK,38:43.6
,28/03/23 9:53,28/03/23,753951,1,1,1,10.2,0,3,46,0,0,0,OK,38:46.3
,28/03/23 9:54,28/03/23,753951,1,1,1,10,0,4,68,0,0,0,OK,38:49.0
,28/03/23 9:55,28/03/23,987654,1,1,1,10.3,0,4,65,0,0,0,OK,38:51.6
,28/03/23 9:57,28/03/23,753951,1,1,1,10.8,0,3,45,0,0,0,OK,38:54.4
,28/03/23 9:58,28/03/23,753951,1,1,1,10,0,3,46,0,0,0,OK,38:57.6
,28/03/23 10:00,28/03/23,123456,1,1,1,10,0,3,47,0,0,0,OK,39:00.3
,28/03/23 10:01,28/03/23,753951,1,1,1,10.7,0,3,45,0,0,0,OK,39:03.1
,28/03/23 10:02,28/03/23,753951,1,1,1,11.1,0,4,67,0,0,0,OK,39:05.8
,28/03/23 10:04,28/03/23,753951,1,1,1,10.6,0,4,68,0,0,0,OK,39:08.8
,28/03/23 10:05,28/03/23,987654,1,1,1,10.8,0,3,47,0,0,0,OK,39:11.6
,28/03/23 10:07,28/03/23,987654,1,1,1,10.4,0,3,45,0,0,0,OK,39:14.3